genes,logFC,logCPM,PValue,FDR,Annotation
LOC105184338,-1.169307047,8.970533792,1.25E-28,7.93E-26,serine/threonine-protein kinase PRP4 homolog
LOC105192501,-1.406112924,7.48743043,4.39E-28,2.65E-25,nucleolar protein 12
LOC105184018,-1.312536623,7.632049759,5.03E-28,2.90E-25,biorientation of chromosomes in cell division protein 1-like 1
LOC105191000,-1.418310654,6.285564011,9.73E-28,5.35E-25,programmed cell death protein 2
LOC105188568,-1.741257524,10.39862594,1.58E-27,8.34E-25,centrosomal protein of 78 kDa
LOC105191407,-1.334827241,6.732123187,5.31E-27,2.69E-24,uncharacterized protein LOC105191407 isoform X1
LOC105189826,-1.603004138,5.66938606,6.82E-27,3.32E-24,helicase POLQ-like isoform X2
LOC105182434,-1.296355222,7.331332485,1.34E-26,6.27E-24,60S ribosomal protein L35
LOC105190914,-1.329751368,6.5322675,1.44E-26,6.51E-24,RNA polymerase II subunit B1 CTD phosphatase Rpap2 isoform X1
LOC105186983,2.097648435,8.120677121,3.63E-26,1.54E-23,cytochrome P450 9e2-like
LOC105189722,-1.561764135,6.156288346,3.65E-26,1.54E-23,chromatin modification-related protein EAF7
LOC105180877,-1.461883344,5.570931167,5.65E-26,2.23E-23,TATA box-binding protein-associated factor RNA polymerase I subunit B
LOC105188026,1.49591442,6.092675658,5.65E-26,2.23E-23,"furin-like protease 1, isoforms 1/1-X/2 isoform X2"
LOC105190694,-1.180495286,8.410427268,7.41E-26,2.84E-23,protein PFC0760c isoform X5
LOC112588479,2.204439546,4.932704102,1.08E-25,4.01E-23,proline-rich receptor-like protein kinase PERK9
LOC105186105,-1.519628376,5.532141712,1.46E-25,5.28E-23,ribosomal RNA processing protein 36 homolog
LOC105181103,1.954290671,5.427988401,1.71E-25,6.03E-23,F-box/LRR-repeat protein 14
LOC105183261,-1.239809646,7.091250273,6.03E-25,2.06E-22,"myosin heavy chain, skeletal muscle isoform X2"
LOC105188896,1.065597817,9.055667571,6.60E-25,2.20E-22,teneurin-m isoform X1
LOC105182900,1.180815042,8.698331699,1.97E-24,6.40E-22,cytoplasmic polyadenylation element-binding protein 2
LOC105190021,1.099374042,8.746456686,2.41E-24,7.62E-22,zinc finger homeobox protein 3 isoform X1
LOC105180611,1.910609271,5.156405534,2.93E-24,9.04E-22,cuticle protein 21
LOC105186708,-1.15811604,7.04877399,3.87E-24,1.16E-21,uncharacterized protein LOC105186708 isoform X2
LOC105182446,-1.176016026,6.895376773,8.78E-24,2.58E-21,uncharacterized aarF domain-containing protein kinase 5 isoform X2
LOC105191888,1.099463265,8.420571653,1.17E-23,3.36E-21,potassium voltage-gated channel protein Shal isoform X6
LOC105191828,-1.150146901,7.201283158,1.41E-23,3.97E-21,DNA ligase 1
LOC105183350,1.446939486,7.07661692,2.83E-23,7.63E-21,zinc finger protein rotund isoform X3
LOC105190572,1.861927907,5.252879877,2.83E-23,7.63E-21,LHFPL tetraspan subfamily member 6 protein
LOC105184751,-1.457248037,5.851467551,2.97E-23,7.82E-21,golgin subfamily A member 4 isoform X1
LOC105189239,-1.570149531,5.554467737,4.16E-23,1.07E-20,unconventional prefoldin RPB5 interactor-like protein
LOC105188455,-1.205845657,7.74047333,4.26E-23,1.08E-20,Fanconi anemia group D2 protein isoform X1
LOC105184536,-1.299416489,6.033993114,5.62E-23,1.40E-20,putative leucine-rich repeat-containing protein DDB_G0290503
LOC105180938,-0.977193485,9.308654293,5.75E-23,1.40E-20,kinectin isoform X5
LOC105184511,-1.22181603,7.534277642,8.30E-23,1.95E-20,uncharacterized protein LOC105184511
LOC105181480,-1.324077123,5.790859383,8.31E-23,1.95E-20,DNA polymerase beta
LOC105191954,2.998809683,5.299899731,1.00E-22,2.31E-20,pro-corazonin
LOC105189575,-1.067075717,7.710099334,1.11E-22,2.51E-20,adenosine kinase 2
LOC105192623,-1.068002232,7.362674844,1.34E-22,2.98E-20,transcription factor TFIIIB component B\\'\\' homolog isoform X1
LOC105185020,-1.06450864,8.248152518,1.36E-22,2.98E-20,centromere protein F isoform X1
LOC105190405,1.402589909,6.653528611,1.83E-22,3.93E-20,zinc finger protein 395
LOC105181723,1.108018277,8.505050004,2.79E-22,5.88E-20,zinc finger SWIM domain-containing protein 8
LOC105186194,-1.349982036,5.761224728,3.73E-22,7.75E-20,uncharacterized protein LOC105186194 isoform X4
LOC105191023,2.037717328,6.42408718,4.00E-22,8.16E-20,G1/S-specific cyclin-D2
LOC105181668,-1.340669028,6.389231518,5.03E-22,1.01E-19,kanadaptin
LOC105188755,-1.220272802,6.691751614,9.14E-22,1.81E-19,replication factor C subunit 1
LOC105182377,-1.029227676,7.880262229,1.27E-21,2.48E-19,DNA polymerase alpha catalytic subunit
LOC105180805,-1.184008333,6.803910638,1.66E-21,3.15E-19,protein PFC0760c
LOC105185297,-0.988388266,8.95211038,1.67E-21,3.15E-19,transcriptional regulator ATRX isoform X3
LOC105185538,-1.265795603,6.172421958,1.88E-21,3.49E-19,dentin sialophosphoprotein isoform X1
LOC105188653,-5.235764959,2.114685508,2.46E-21,4.49E-19,retinol dehydrogenase 12
LOC105189175,-1.091284154,7.643483591,2.48E-21,4.49E-19,putative uncharacterized protein DDB_G0282133 isoform X1
LOC105182507,1.148808306,8.459907083,2.90E-21,5.17E-19,LOW QUALITY PROTEIN: uncharacterized protein LOC105182507
LOC105187209,-1.314795358,5.768070705,3.13E-21,5.51E-19,serine/threonine-protein kinase RIO3
LOC105185810,-1.532016006,5.354775347,3.50E-21,6.06E-19,uncharacterized protein LOC105185810 isoform X1
LOC105181709,-1.475759487,5.590689356,3.89E-21,6.65E-19,PMS1 protein homolog 1 isoform X2
LOC105185817,-1.070385671,7.034711714,4.31E-21,7.28E-19,peptidyl-prolyl cis-trans isomerase cyp11 isoform X1
LOC105182463,-1.398121301,5.489928719,5.85E-21,9.74E-19,LOW QUALITY PROTEIN: nuclear speckle splicing regulatory protein 1
LOC105182773,1.069600453,9.346845845,6.00E-21,9.86E-19,uncharacterized protein LOC105182773 isoform X1
LOC105180487,-1.126959822,6.739338525,8.96E-21,1.45E-18,uncharacterized protein LOC105180487 isoform X1
LOC105183313,1.191091976,6.885316209,1.01E-20,1.62E-18,uncharacterized protein LOC105183313
LOC105184680,-1.614653469,5.051793419,1.28E-20,2.02E-18,coiled-coil domain-containing protein 174
LOC112590721,3.23957309,3.69109353,1.52E-20,2.37E-18,uncharacterized protein LOC112590721
LOC105180610,-0.981127464,8.184676666,1.95E-20,3.00E-18,structural maintenance of chromosomes protein 6
LOC105186693,-1.122601269,6.786192702,2.15E-20,3.28E-18,abscission/NoCut checkpoint regulator
LOC105189663,-1.109442317,6.559201677,2.69E-20,4.04E-18,EP300-interacting inhibitor of differentiation 3 isoform X1
LOC105182919,-1.244745785,5.760209701,2.71E-20,4.04E-18,RNA polymerase II-associated protein 3 isoform X1
LOC105185002,1.03687316,9.782318675,3.41E-20,5.01E-18,synapsin
LOC109504216,1.529015372,6.146734245,4.15E-20,6.04E-18,"uncharacterized protein LOC109504216, partial"
LOC105180829,-1.30739785,5.833628236,4.28E-20,6.16E-18,protein lethal(2)essential for life
LOC105191783,1.144097151,7.709995247,4.42E-20,6.29E-18,acetylcholine receptor subunit alpha-like 1
LOC105182732,1.191641312,7.586727997,5.27E-20,7.41E-18,dopamine receptor 1 isoform X1
LOC109503582,-1.103852675,7.095559853,6.23E-20,8.66E-18,pescadillo homolog
LOC105190385,-1.105182916,6.936116725,7.08E-20,9.74E-18,uncharacterized protein LOC105190385
LOC105187576,-1.140326339,6.711311866,8.94E-20,1.22E-17,RNA-binding protein 28
LOC105184955,-1.120309394,7.426583328,1.00E-19,1.35E-17,peptidyl-prolyl cis-trans isomerase CWC27 homolog
LOC105188168,-1.257154775,5.872664245,1.11E-19,1.48E-17,uncharacterized protein LOC105188168
LOC105188827,2.40180473,4.493013878,1.19E-19,1.56E-17,leucine-rich repeat-containing protein 58
LOC105187260,-1.012036174,7.324862314,1.21E-19,1.58E-17,structural maintenance of chromosomes protein 3 isoform X1
LOC105182538,-1.312849783,5.71763526,1.25E-19,1.61E-17,crossover junction endonuclease MUS81 isoform X1
LOC105184504,-1.07515655,6.864552827,1.34E-19,1.72E-17,la protein homolog
LOC105182532,-1.088285616,7.045082428,1.42E-19,1.80E-17,protein SDA1 homolog
LOC109503962,-1.181146072,6.121488107,1.48E-19,1.85E-17,protein ALP1-like
LOC112590114,-1.378508091,5.182470462,1.58E-19,1.95E-17,putative nuclease HARBI1 isoform X3
LOC105184459,-0.991793804,7.129732421,1.64E-19,2.02E-17,ATP-dependent RNA helicase DDX42
LOC105187726,-1.364590412,5.729801712,1.67E-19,2.03E-17,uncharacterized protein LOC105187726
LOC105187517,1.061983231,11.44888774,1.73E-19,2.09E-17,poly(rC)-binding protein 4 isoform X5
LOC105181586,1.085202112,9.452733789,1.89E-19,2.26E-17,neurotrimin isoform X1
LOC105182528,-1.303162474,7.2942375,1.93E-19,2.28E-17,DNA polymerase V isoform X1
LOC105188322,-1.089194439,7.028674859,2.28E-19,2.68E-17,"1,4-alpha-glucan-branching enzyme isoform X1"
LOC105186714,-1.284278948,5.94766378,2.51E-19,2.91E-17,uncharacterized protein LOC105186714 isoform X1
LOC105192009,-1.117057827,6.024243284,3.37E-19,3.88E-17,U11/U12 small nuclear ribonucleoprotein 48 kDa protein
LOC105185532,-1.134101369,7.338653932,3.48E-19,3.97E-17,lymphoid-specific helicase
LOC105188453,-1.531262177,5.202416853,3.52E-19,3.97E-17,uncharacterized protein LOC105188453
LOC105181805,1.551531307,5.231084092,4.33E-19,4.84E-17,proline-rich nuclear receptor coactivator 2
LOC105187975,1.157818172,6.623778755,4.53E-19,5.03E-17,protein kinase C-binding protein NELL1-like
LOC105190747,-1.128933165,6.394280258,4.93E-19,5.43E-17,nucleolar protein 14 homolog
LOC105189766,1.218928029,6.594132546,5.64E-19,6.15E-17,uncharacterized protein LOC105189766 isoform X2
LOC105190171,1.394989834,6.657886061,6.15E-19,6.66E-17,tyramine receptor 1
LOC105181607,-1.5659045,4.861704808,8.29E-19,8.89E-17,geminin isoform X1
LOC105185137,-1.096030078,8.095497552,9.84E-19,1.04E-16,ubiquitin-40S ribosomal protein S27a
LOC109504008,1.392004061,6.282979192,9.86E-19,1.04E-16,lymphocyte antigen 6C2
LOC105181726,-4.695975036,14.0815451,1.08E-18,1.13E-16,vitellogenin-like
LOC105190554,-1.108371578,6.632289482,1.19E-18,1.24E-16,dentin sialophosphoprotein
LOC105191972,-1.263868802,6.262017766,1.39E-18,1.43E-16,la-related protein 7
LOC105191790,1.052356292,9.63732717,1.56E-18,1.59E-16,calsyntenin-1 isoform X1
LOC105190999,-1.219701558,5.999976735,1.59E-18,1.61E-16,terminal uridylyltransferase Tailor
LOC105183373,1.015966296,9.227469243,1.83E-18,1.83E-16,uncharacterized protein LOC105183373 isoform X1
LOC112590141,-1.859551388,4.434096621,2.23E-18,2.22E-16,uncharacterized protein LOC112590141
LOC105182264,-1.22277636,5.558512556,2.43E-18,2.40E-16,putative uncharacterized protein DDB_G0286901
LOC105182547,-1.468699198,4.796062324,2.83E-18,2.78E-16,coiled-coil domain-containing protein 97
LOC105184487,1.48534712,6.16789028,2.96E-18,2.88E-16,innexin inx2
LOC105186594,1.399047877,5.860771356,3.01E-18,2.91E-16,netrin-1
LOC105185393,-1.022050803,7.554925854,3.56E-18,3.41E-16,uncharacterized protein LOC105185393
LOC105187236,-1.25039232,5.754059112,4.95E-18,4.71E-16,ESF1 homolog
LOC112590240,1.129827509,7.353427591,5.20E-18,4.91E-16,"splicing factor, proline- and glutamine-rich-like"
LOC105191282,-1.297538998,6.45696233,5.34E-18,5.01E-16,uncharacterized protein LOC105191282
LOC105185755,-1.029003037,7.357558236,5.97E-18,5.55E-16,activating signal cointegrator 1 isoform X1
LOC105182761,1.088742799,6.727091215,6.33E-18,5.84E-16,BTB/POZ domain-containing protein KCTD16
LOC105185013,-0.984634554,7.96408691,6.68E-18,6.12E-16,PHD finger protein 20 isoform X1
LOC105183951,-1.505916168,4.77164383,6.99E-18,6.36E-16,interaptin
LOC105186743,0.936608663,8.045050261,7.95E-18,7.19E-16,uncharacterized protein LOC105186743 isoform X2
LOC105191904,-1.248077979,6.126281638,9.20E-18,8.26E-16,nucleolar MIF4G domain-containing protein 1 homolog
LOC105181721,-1.047405954,7.257546469,9.61E-18,8.57E-16,40S ribosomal protein S14a
LOC105187193,-1.100151279,6.671779455,1.79E-17,1.59E-15,60S ribosomal protein L32
LOC105180924,2.623731972,3.895465239,2.85E-17,2.51E-15,maltase 1
LOC105186685,2.655924191,4.739331852,3.30E-17,2.88E-15,somatostatin receptor type 2
LOC105183519,1.111102028,8.497580626,3.72E-17,3.22E-15,proton-coupled amino acid transporter-like protein pathetic isoform X2
LOC105181433,-1.379906988,5.038212424,4.08E-17,3.51E-15,proline-rich protein PRCC
LOC105183666,-0.948905241,7.032698174,4.50E-17,3.84E-15,U4/U6.U5 tri-snRNP-associated protein 1
LOC105185826,-0.92310539,8.127059664,4.67E-17,3.96E-15,zinc finger and SCAN domain-containing protein 2-like
LOC105181999,-0.868333513,8.479599146,5.76E-17,4.86E-15,uncharacterized protein LOC105181999
LOC105187415,-1.173252934,6.273488369,6.16E-17,5.17E-15,protein KRI1 homolog
LOC105185443,0.998597489,10.18444763,7.17E-17,5.97E-15,voltage-dependent calcium channel type A subunit alpha-1 isoform X8
LOC105183697,-1.000300532,8.283417097,7.24E-17,5.99E-15,putative uncharacterized protein DDB_G0282133 isoform X1
LOC105191889,1.028960417,7.295750868,8.01E-17,6.58E-15,uncharacterized protein LOC105191889 isoform X1
LOC105190302,-0.996946115,7.797078816,8.13E-17,6.64E-15,structural maintenance of chromosomes protein 1A
LOC105184895,-1.066401152,6.073471987,8.95E-17,7.26E-15,TELO2-interacting protein 1 homolog
LOC105190135,0.88910337,9.192888068,9.07E-17,7.31E-15,probable Ras GTPase-activating protein isoform X3
LOC105189996,-0.994788281,7.621634682,9.20E-17,7.37E-15,kinectin isoform X2
LOC105192388,-1.132122333,8.023027978,1.01E-16,8.04E-15,DNA repair protein RAD50
LOC112588850,-1.354398051,4.742007851,1.18E-16,9.35E-15,uncharacterized protein LOC112588850 isoform X2
LOC105186404,1.576483936,5.533272405,1.19E-16,9.35E-15,transcription factor btd
LOC105185878,-1.105717887,6.048674619,1.28E-16,1.00E-14,52 kDa repressor of the inhibitor of the protein kinase-like
LOC105189470,1.038992217,7.733902226,1.40E-16,1.08E-14,RNA binding protein fox-1 homolog 2 isoform X8
LOC105187433,-0.916687552,7.295281173,1.61E-16,1.24E-14,biotin--protein ligase isoform X1
LOC109503858,1.362112466,6.545739177,1.69E-16,1.30E-14,AF4/FMR2 family member 4-like
LOC112588226,1.804326064,4.511289101,1.80E-16,1.37E-14,zinc finger protein 628-like
LOC105189801,-1.442563331,5.169348951,2.06E-16,1.56E-14,protein arginine N-methyltransferase 6 isoform X1
LOC105189332,0.936465362,8.098986847,2.20E-16,1.66E-14,small conductance calcium-activated potassium channel protein isoform X3
LOC105183037,0.890083397,9.401318796,2.59E-16,1.94E-14,uncharacterized protein LOC105183037 isoform X9
LOC105186719,-1.458899964,5.688874971,3.01E-16,2.24E-14,"transcription factor A, mitochondrial isoform X1"
LOC105185545,1.079351874,6.762558632,3.02E-16,2.24E-14,"dipeptidase 1, partial"
LOC105183054,-0.986562754,8.64061912,3.14E-16,2.31E-14,WD repeat-containing protein CG11141
LOC105190047,-1.215964656,5.865609688,3.29E-16,2.41E-14,G-patch domain and KOW motifs-containing protein
LOC105184434,-1.155487603,5.767181275,3.42E-16,2.48E-14,uncharacterized protein LOC105184434 isoform X2
LOC105192405,1.573058883,7.961960626,3.43E-16,2.48E-14,serine protease inhibitor 88Ea
LOC105185172,0.956510561,7.055619125,3.51E-16,2.52E-14,solute carrier family 41 member 1 isoform X2
LOC105185566,1.065587268,6.651027947,3.81E-16,2.72E-14,protein couch potato isoform X4
LOC105189445,-0.989730991,6.503048417,3.91E-16,2.78E-14,"aspartate--tRNA ligase, mitochondrial isoform X1"
LOC105181798,-1.058495914,7.448923329,5.01E-16,3.54E-14,60S ribosomal protein L9
LOC105189515,-1.383904662,5.526147809,5.13E-16,3.61E-14,GDP-fucose protein O-fucosyltransferase 2 isoform X1
LOC105181628,0.870220612,9.643908874,5.28E-16,3.68E-14,transmembrane protein 132B isoform X2
LOC105191387,1.083807725,6.546930215,5.29E-16,3.68E-14,"glypican-6, partial"
LOC105180878,-1.230422255,5.700383848,5.36E-16,3.71E-14,RWD domain-containing protein 1
LOC105191955,-1.164215364,5.926939435,5.42E-16,3.73E-14,"alanine--tRNA ligase, mitochondrial isoform X1"
LOC105185997,2.438840625,4.361278151,5.89E-16,4.03E-14,uncharacterized protein LOC105185997
LOC105188576,-1.126112493,6.047189791,6.16E-16,4.19E-14,mitochondrial ribonuclease P protein 1 homolog
LOC105189518,0.947538839,8.61126168,6.73E-16,4.55E-14,R3H domain-containing protein 1 isoform X1
LOC105186208,-0.898329615,7.002174901,7.09E-16,4.77E-14,centrosomal protein of 290 kDa isoform X2
LOC105185329,-1.055628224,8.283669869,7.42E-16,4.97E-14,bifunctional purine biosynthesis protein PURH
LOC105191146,-0.998895837,6.140148602,7.76E-16,5.17E-14,claspin
LOC105189042,-1.215345506,5.39405797,8.03E-16,5.32E-14,"28S ribosomal protein S31, mitochondrial"
LOC105185806,-1.099834985,6.26771916,8.13E-16,5.36E-14,protein SPT2 homolog
LOC109503692,1.537178078,4.96316248,8.90E-16,5.84E-14,uncharacterized histidine-rich protein DDB_G0274557-like
LOC105183581,-1.283068691,5.149454323,9.24E-16,6.03E-14,nucleolar protein 8
LOC105183229,1.375856758,5.408106866,9.52E-16,6.18E-14,guanine nucleotide-binding protein subunit gamma-e
LOC105190346,1.036947813,6.783352988,1.00E-15,6.47E-14,neurogenic locus Notch protein isoform X2
LOC105189772,1.031229415,7.047576176,1.06E-15,6.79E-14,irregular chiasm C-roughest protein isoform X1
LOC105187643,-1.297004786,5.343233004,1.08E-15,6.91E-14,putative tRNA pseudouridine synthase Pus10
LOC105183930,-1.064597897,6.66392775,1.10E-15,7.00E-14,gamma-tubulin complex component 5 isoform X2
LOC105184588,-1.188009041,5.660546538,1.17E-15,7.41E-14,"beta-1,3-galactosyltransferase brn"
LOC105189870,-0.996335239,6.979889768,1.28E-15,8.05E-14,protein TIPIN homolog
LOC105190117,-1.035527201,8.468700573,1.47E-15,9.21E-14,translationally-controlled tumor protein homolog isoform X1
LOC105182274,-1.070783243,6.480832055,1.56E-15,9.72E-14,structural maintenance of chromosomes protein 5
LOC105191947,0.871706742,10.08464969,1.59E-15,9.84E-14,uncharacterized protein LOC105191947 isoform X1
LOC105187173,-0.967198096,6.520906531,1.67E-15,1.03E-13,E3 UFM1-protein ligase 1 homolog
LOC105181612,-0.988767794,7.121938572,1.72E-15,1.06E-13,nuclear export mediator factor NEMF homolog isoform X1
LOC105189516,-1.034894237,6.387314506,2.26E-15,1.38E-13,"28S ribosomal protein S7, mitochondrial"
LOC105188507,0.980384402,8.475677782,2.37E-15,1.44E-13,disco-interacting protein 2 isoform X5
LOC105190522,-0.874234315,7.397486629,2.42E-15,1.46E-13,uncharacterized protein LOC105190522 isoform X2
LOC105191370,-1.112362837,5.877839071,2.47E-15,1.49E-13,diphosphomevalonate decarboxylase isoform X2
LOC105181852,-0.826631349,8.199796152,2.85E-15,1.71E-13,neuroblastoma-amplified sequence-like isoform X3
LOC105191621,1.124893973,7.430795581,3.00E-15,1.79E-13,frizzled-2
LOC112588436,-1.332638449,4.98842339,3.27E-15,1.94E-13,uncharacterized protein LOC112588436
LOC105192289,-1.450701468,4.944111783,3.37E-15,1.99E-13,disks large-associated protein 5
LOC105189286,1.799786079,5.345524469,3.44E-15,2.02E-13,transcription factor Sp5
LOC105189146,-1.014565382,5.911009639,3.65E-15,2.13E-13,protein SHQ1 homolog isoform X2
LOC105187830,1.459833161,5.102951332,3.66E-15,2.13E-13,SIFamide-related peptide
LOC105186438,-1.322827907,5.126980232,3.94E-15,2.29E-13,uncharacterized protein LOC105186438
LOC105185423,1.033310739,6.100694039,4.26E-15,2.46E-13,uncharacterized protein LOC105185423 isoform X1
LOC105183012,-1.459440627,4.530422691,4.28E-15,2.46E-13,uncharacterized protein LOC105183012
LOC105189352,-1.186739436,5.292303849,4.80E-15,2.75E-13,uncharacterized protein LOC105189352 isoform X2
LOC105189812,-1.162205784,5.268243528,4.91E-15,2.80E-13,ethanolamine kinase 1
LOC105188394,-0.911341169,7.239284858,5.13E-15,2.91E-13,inner centromere protein B
LOC105182641,-0.856861887,7.630877437,5.89E-15,3.33E-13,MATH and LRR domain-containing protein PFE0570w
LOC105190939,-1.622921438,4.33874908,6.08E-15,3.42E-13,baculoviral IAP repeat-containing protein 5
LOC105183963,-0.929189602,6.646995807,6.58E-15,3.67E-13,condensin complex subunit 2
LOC105182063,0.87071886,8.201727871,6.58E-15,3.67E-13,collagen alpha chain CG42342 isoform X12
LOC105184694,-1.045495494,5.851093767,6.89E-15,3.82E-13,GRIP and coiled-coil domain-containing protein 1
LOC105191859,1.067237225,6.301577595,7.04E-15,3.88E-13,serine/threonine-protein kinase NLK isoform X1
LOC105191185,1.30443685,5.48995016,7.05E-15,3.88E-13,leucine-rich repeat-containing protein 15
LOC105185933,-1.291691253,5.768866287,7.15E-15,3.92E-13,chromosome-associated kinesin KIF4
LOC105183197,1.053397786,7.402336657,7.23E-15,3.94E-13,sodium/potassium/calcium exchanger Nckx30C isoform X6
LOC105188584,0.990157365,6.660438859,7.25E-15,3.94E-13,hemicentin-1 isoform X1
LOC105185147,-1.171156847,5.362352042,7.36E-15,3.98E-13,DNA polymerase epsilon subunit 2
LOC105182455,-1.13157429,6.149262238,7.44E-15,4.01E-13,ribosome biogenesis protein NOP53
LOC105187407,2.30129455,4.329759077,7.75E-15,4.15E-13,uncharacterized protein LOC105187407
LOC105186147,-0.841026406,7.70391431,8.38E-15,4.48E-13,uncharacterized protein LOC105186147 isoform X1
LOC105191875,-1.141181115,6.863313996,9.97E-15,5.30E-13,DNA ligase 1
LOC105191996,-1.297291912,5.359885565,1.01E-14,5.36E-13,uncharacterized protein LOC105191996
LOC105184153,0.889625381,9.512580785,1.12E-14,5.93E-13,tubulin alpha-1 chain
LOC105180475,-1.280118865,4.96420401,1.14E-14,5.97E-13,uncharacterized protein LOC105180475
LOC105186413,-0.928799077,7.185509248,1.27E-14,6.61E-13,general transcription and DNA repair factor IIH helicase subunit XPB
LOC105183934,-1.17326641,5.635471211,1.27E-14,6.61E-13,RNA-binding protein NOB1
LOC105181139,-1.259879571,5.089888587,1.28E-14,6.62E-13,protein crossbronx homolog isoform X1
LOC105181049,-1.564422575,4.073957554,1.28E-14,6.63E-13,uncharacterized protein LOC105181049
LOC112588281,1.073665886,6.467003386,1.30E-14,6.68E-13,AF4/FMR2 family member 4-like
LOC105185602,1.046967887,6.652261428,1.44E-14,7.36E-13,sodium/calcium exchanger 2
LOC105189771,0.89399925,9.116789881,1.45E-14,7.40E-13,uncharacterized protein LOC105189771 isoform X3
LOC105191070,0.93262176,7.588286182,1.52E-14,7.73E-13,E3 ubiquitin-protein ligase CBL-B isoform X2
LOC105187287,-1.020660621,6.248764356,1.59E-14,8.07E-13,DNA helicase MCM8 isoform X1
LOC105191767,-1.229302757,5.96213458,1.69E-14,8.52E-13,uncharacterized protein LOC105191767
LOC105192440,-1.064879362,6.41640392,1.84E-14,9.25E-13,uncharacterized protein LOC105192440 isoform X1
LOC105180535,1.096775337,5.79234351,1.85E-14,9.25E-13,uncharacterized protein LOC105180535
LOC105192298,-1.066743688,6.536992383,1.86E-14,9.25E-13,golgin subfamily A member 5
LOC105185491,0.991035746,7.06422121,1.86E-14,9.25E-13,uridine phosphorylase 1 isoform X2
LOC109503694,-1.317549873,4.793075765,1.90E-14,9.39E-13,uncharacterized protein LOC109503694
LOC109504638,1.149358869,5.698754917,1.92E-14,9.43E-13,uncharacterized protein LOC109504638
LOC105192700,1.038536981,7.386474885,1.94E-14,9.52E-13,monocarboxylate transporter 2 isoform X1
LOC105189765,-1.092915002,5.619401601,1.99E-14,9.71E-13,guanine nucleotide-binding protein subunit beta-like protein 1
LOC105186557,-1.054578107,5.690646846,2.07E-14,1.01E-12,uncharacterized protein LOC105186557
LOC105189800,-1.257454095,5.142423237,2.08E-14,1.01E-12,MRG/MORF4L-binding protein
LOC105181255,1.120503029,6.618488818,2.15E-14,1.04E-12,uncharacterized transcriptional regulatory protein TBS1-like
LOC105184741,-0.977300488,6.977207755,2.22E-14,1.07E-12,protein SON isoform X1
LOC105188421,-1.204807991,5.280288921,2.32E-14,1.11E-12,bridging integrator 3 homolog isoform X2
LOC105185434,-1.064497674,6.268075913,2.42E-14,1.15E-12,S1 RNA-binding domain-containing protein 1
LOC105185814,-1.160351675,5.851530412,2.72E-14,1.30E-12,MMS19 nucleotide excision repair protein homolog
LOC105182585,0.927252083,7.712011704,3.19E-14,1.51E-12,protein sprouty isoform X1
LOC105185161,-7.986188494,7.34700412,3.31E-14,1.56E-12,arylphorin subunit alpha
LOC105189390,-1.19182865,5.731288177,3.33E-14,1.57E-12,mitochondrial import inner membrane translocase subunit Tim10 isoform X1
LOC105184894,-0.993082563,5.999704871,3.84E-14,1.80E-12,ras association domain-containing protein 8
LOC105181233,1.105090897,6.220724132,4.24E-14,1.98E-12,carbonic anhydrase 2 isoform X2
LOC105191100,1.242267995,6.303105259,4.25E-14,1.98E-12,hybrid signal transduction histidine kinase B-like
LOC105185670,1.046469438,10.11893052,4.75E-14,2.20E-12,apolipoprotein D
